"pacSelector","kind","owner","principalId","lastChange","category","displayName","id"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Monitoring","Deploy Resource Health Unhealthy Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_ResourceHealth_Unhealthy_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG Egress Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_Egress_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG Bandwidth Utilization Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_BandwidthUtil_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:46","Compute","Deploy VM HeartBeat Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_HeartBeat_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy App Service Plan CPU Percentage Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_WSF_CPUPercentage_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:47","Network","Deploy VNetG Tunnel Ingress Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelIngress_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM HeartBeat Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_HeartBeat_Alert_RG"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ALB Used SNAT Ports Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ALB_UsedSNATPorts_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Monitoring","Deploy Activity Log LA Workspace Delete Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_LAWorkspace_Delete"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ER Direct ExpressRoute TxLightLevel Low Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERP_ExpressRoutTxLightLevellow_Alert"
"tenant","Policy","unknownOwner","f0047a79-83bb-4341-bc3d-e85b4a74b4ba","2023-10-30T15:34:14","Networking","Deploy Frontdoor Backend Request Latency Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_Frontdoor_BackendRequestLatency_Alert"
